"Domain","Methods","Endpoint"
"hackerone.com","GET","/"
"hackerone.com","GET","/(*path)(.:format)"
"hackerone.com","GET|POST|PUT|PATCH|DELETE|OPTIONS|HEAD","/*unmatched_route"
"hackerone.com","PUT","/:id(.:format)"
"hackerone.com","PATCH","/:id(.:format)"
"hackerone.com","GET","/:id(.:format)"
"hackerone.com","POST","/:id/accept(.:format)"
"hackerone.com","POST","/:id/claim(.:format)"
"hackerone.com","GET","/:id/da_eligible_teams(.:format)"
"hackerone.com","GET","/:id/edit(.:format)"
"hackerone.com","GET","/:id/hacktivity(.:format)"
"hackerone.com","GET","/:id/insights(.:format)"
"hackerone.com","GET","/:id/invite_only(.:format)"
"hackerone.com","GET","/:id/policy_versions(.:format)"
"hackerone.com","POST","/:id/publish(.:format)"
"hackerone.com","POST","/:id/quit(.:format)"
"hackerone.com","POST","/:id/reject(.:format)"
"hackerone.com","GET","/:id/report_submission_form_intro(.:format)"
"hackerone.com","GET","/:id/reporters(.:format)"
"hackerone.com","GET","/:id/scope_versions(.:format)"
"hackerone.com","GET","/:id/setup(.:format)"
"hackerone.com","GET","/:id/updates(.:format)"
"hackerone.com","POST","/:team_id/api(.:format)"
"hackerone.com","GET","/:team_id/api(.:format)"
"hackerone.com","DELETE","/:team_id/api/:id(.:format)"
"hackerone.com","GET","/:team_id/assets(.:format)"
"hackerone.com","PUT","/:team_id/authentication(.:format)"
"hackerone.com","PATCH","/:team_id/authentication(.:format)"
"hackerone.com","GET","/:team_id/authentication(.:format)"
"hackerone.com","GET","/:team_id/bi_directional_jira_integrations(.:format)"
"hackerone.com","GET","/:team_id/bi_directional_jira_integrations/*all(.:format)"
"hackerone.com","GET","/:team_id/billing(.:format)"
"hackerone.com","POST","/:team_id/billing/generate_csv_statement(.:format)"
"hackerone.com","POST","/:team_id/billing/generate_pdf_statement(.:format)"
"hackerone.com","POST","/:team_id/billing/legacy_data(.:format)"
"hackerone.com","POST","/:team_id/billing/low_balance_email_threshold(.:format)"
"hackerone.com","GET","/:team_id/challenge_policy(.:format)"
"hackerone.com","GET","/:team_id/common_responses(.:format)"
"hackerone.com","GET","/:team_id/common_responses/:id/edit(.:format)"
"hackerone.com","GET","/:team_id/common_responses/new(.:format)"
"hackerone.com","POST","/:team_id/common_responses/triggers(.:format)"
"hackerone.com","GET","/:team_id/common_responses/triggers(.:format)"
"hackerone.com","GET","/:team_id/credentials(.:format)"
"hackerone.com","POST","/:team_id/credentials/export(.:format)"
"hackerone.com","PUT","/:team_id/credentials/import(.:format)"
"hackerone.com","PUT","/:team_id/credentials/preview(.:format)"
"hackerone.com","PATCH","/:team_id/creditcards(.:format)"
"hackerone.com","GET","/:team_id/creditcards(.:format)"
"hackerone.com","PUT","/:team_id/creditcards(.:format)"
"hackerone.com","POST","/:team_id/creditcards/deactivate(.:format)"
"hackerone.com","GET","/:team_id/cve_requests(.:format)"
"hackerone.com","GET","/:team_id/cve_requests/:id/edit(.:format)"
"hackerone.com","GET","/:team_id/cve_requests/new(.:format)"
"hackerone.com","POST","/:team_id/demo/reset(.:format)"
"hackerone.com","GET","/:team_id/directory_settings(.:format)"
"hackerone.com","GET","/:team_id/disclosure(.:format)"
"hackerone.com","POST","/:team_id/disclosure(.:format)"
"hackerone.com","PATCH","/:team_id/disclosure(.:format)"
"hackerone.com","DELETE","/:team_id/disclosure(.:format)"
"hackerone.com","PUT","/:team_id/disclosure(.:format)"
"hackerone.com","GET","/:team_id/disclosure/edit(.:format)"
"hackerone.com","GET","/:team_id/disclosure/new(.:format)"
"hackerone.com","GET","/:team_id/disclosure_assistance_requests/new(.:format)"
"hackerone.com","GET","/:team_id/display_options(.:format)"
"hackerone.com","PATCH","/:team_id/display_options(.:format)"
"hackerone.com","PUT","/:team_id/display_options(.:format)"
"hackerone.com","GET","/:team_id/email_settings(.:format)"
"hackerone.com","GET","/:team_id/embedded_submission_domains(.:format)"
"hackerone.com","GET","/:team_id/export_reports(.:format)"
"hackerone.com","PUT","/:team_id/export_reports/:id(.:format)"
"hackerone.com","PATCH","/:team_id/export_reports/:id(.:format)"
"hackerone.com","GET","/:team_id/external_reports/new(.:format)"
"hackerone.com","GET","/:team_id/feedback(.:format)"
"hackerone.com","GET","/:team_id/feedback/generate_csv(.:format)"
"hackerone.com","GET","/:team_id/genii(.:format)"
"hackerone.com","PATCH","/:team_id/genii/:id(.:format)"
"hackerone.com","PUT","/:team_id/genii/:id(.:format)"
"hackerone.com","POST","/:team_id/genii/:team_genius_id/unmute(.:format)"
"hackerone.com","POST","/:team_id/groups(.:format)"
"hackerone.com","GET","/:team_id/groups(.:format)"
"hackerone.com","PUT","/:team_id/groups/:id(.:format)"
"hackerone.com","DELETE","/:team_id/groups/:id(.:format)"
"hackerone.com","PATCH","/:team_id/groups/:id(.:format)"
"hackerone.com","GET","/:team_id/groups/:id/edit(.:format)"
"hackerone.com","PUT","/:team_id/groups/:team_member_group_id/members(.:format)"
"hackerone.com","PATCH","/:team_id/groups/:team_member_group_id/members(.:format)"
"hackerone.com","GET","/:team_id/groups/:team_member_group_id/members/edit(.:format)"
"hackerone.com","GET","/:team_id/groups/new(.:format)"
"hackerone.com","GET","/:team_id/inbox_views(.:format)"
"hackerone.com","POST","/:team_id/inbox_views(.:format)"
"hackerone.com","PATCH","/:team_id/inbox_views/:id(.:format)"
"hackerone.com","PUT","/:team_id/inbox_views/:id(.:format)"
"hackerone.com","DELETE","/:team_id/inbox_views/:id(.:format)"
"hackerone.com","PUT","/:team_id/inbox_views/:id/update_visibility(.:format)"
"hackerone.com","GET","/:team_id/integrations(.:format)"
"hackerone.com","DELETE","/:team_id/integrations/:id(.:format)"
"hackerone.com","PATCH","/:team_id/integrations/:id(.:format)"
"hackerone.com","PUT","/:team_id/integrations/:id(.:format)"
"hackerone.com","GET","/:team_id/jira_integrations(.:format)"
"hackerone.com","PATCH","/:team_id/jira_integrations(.:format)"
"hackerone.com","PUT","/:team_id/jira_integrations(.:format)"
